class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-color;has-ring;ring-type;habitat;season
p;2.94;b;t;p;f;a;c;r;4.57;5.12;y;f;f;d;u
p;9.26;x;h;r;f;a;c;w;11.24;16.85;w;t;g;d;a
p;9.05;x;i;n;f;a;c;n;10.25;14.63;n;f;f;h;a
e;4.29;x;t;o;f;p;c;n;5.31;10.71;n;f;f;d;u
e;9.2;p;y;n;t;e;c;p;8.86;17.56;w;t;l;d;a
p;4.68;b;t;n;f;x;c;p;7.08;4.97;n;f;f;d;u
p;7.84;x;y;w;t;a;c;p;8.15;15.75;w;t;l;d;a
p;7.91;p;g;n;f;e;c;w;7.36;14.76;w;t;p;d;u
e;20.24;x;d;o;f;p;c;w;16.81;35.28;w;f;f;d;a
p;6.48;f;w;p;f;s;c;p;3.66;9.38;p;f;f;d;w
p;2.75;f;y;n;f;e;c;w;5.04;3.59;w;t;e;d;u
p;7.28;f;h;r;f;a;c;w;11.08;16.07;w;t;g;d;a
p;6.74;b;t;w;f;e;c;w;13.98;13.57;w;t;l;d;u
e;7.33;x;h;y;f;p;c;y;8.08;15.13;y;t;f;d;a
p;11.75;x;t;n;f;e;c;w;10.8;12.81;w;t;g;d;a
p;1.51;x;k;n;f;a;c;n;3.83;1.6;n;f;f;d;a
e;9.79;s;t;n;f;a;c;w;4.72;26.11;n;f;f;d;a
p;13.21;x;t;n;f;e;c;w;11.0;15.06;w;t;e;d;u
e;4.58;o;t;n;f;f;f;f;4.55;18.13;n;f;f;d;s
e;5.72;x;s;n;f;x;c;w;6.09;9.47;n;f;f;l;a
e;0.9;b;g;g;f;a;c;g;3.1;1.37;w;f;f;d;a
p;0.76;b;t;n;f;a;c;k;2.79;2.24;n;t;f;g;u
p;4.21;x;h;n;f;a;c;n;4.25;5.6;n;t;z;d;a
e;1.26;x;s;y;f;a;c;w;5.07;1.55;y;f;f;g;a
p;1.24;f;s;y;f;f;f;f;3.42;5.42;y;f;f;d;a
p;1.38;o;k;n;f;a;c;n;3.49;1.21;n;f;f;d;a
e;11.79;x;t;n;t;a;c;w;13.46;19.92;w;t;g;d;a
p;15.77;s;d;n;f;d;c;y;5.56;40.05;n;f;f;d;u
e;8.59;x;y;e;f;a;c;w;7.61;25.75;n;t;e;d;w
p;5.13;x;k;n;f;d;c;n;5.32;6.68;n;t;f;d;u
e;8.8;x;t;n;t;p;c;n;6.7;16.96;n;t;p;d;u
p;8.47;p;t;n;f;p;c;w;10.58;32.11;n;f;f;d;a
p;7.09;f;t;y;f;x;c;n;6.27;11.34;w;f;f;d;u
e;9.17;x;d;n;t;p;c;y;5.51;13.22;y;f;f;d;a
p;0.99;x;g;w;f;a;d;w;2.95;1.49;n;f;f;d;a
p;5.27;s;k;n;f;p;c;n;3.26;4.42;n;t;f;d;u
p;6.65;x;t;y;f;x;c;y;5.52;13.57;y;f;f;d;a
p;5.72;x;d;n;f;d;c;y;5.74;6.58;n;t;f;d;a
e;4.34;o;t;g;f;f;f;f;4.77;19.59;n;f;f;d;s
e;1.14;x;g;e;t;a;c;p;6.23;1.07;n;f;f;h;a
e;13.41;x;s;n;f;a;d;w;10.36;17.88;n;t;f;d;w
p;5.99;p;y;n;f;a;c;w;10.72;11.99;w;t;z;d;w
p;3.8;o;s;g;f;f;f;f;0.0;0.0;f;t;f;d;w
e;12.1;s;t;w;t;d;c;p;6.76;25.16;w;f;f;d;u
p;2.68;x;g;n;f;a;c;p;7.33;2.34;w;f;f;d;u
p;3.14;x;t;n;f;s;c;p;4.88;8.05;w;t;z;d;u
p;5.07;x;t;e;f;a;c;g;3.52;11.99;y;f;f;d;a
p;2.99;x;y;o;f;d;c;o;2.56;5.4;y;f;f;m;a
p;5.88;x;t;g;f;d;c;y;6.16;10.24;n;f;f;d;w
e;6.69;x;i;n;f;e;c;n;4.89;12.71;w;t;l;w;a
p;6.25;f;t;y;f;x;c;n;5.85;9.98;w;f;f;d;a
e;8.95;x;y;e;f;a;c;w;7.05;22.62;n;t;e;d;a
e;5.18;p;s;w;f;e;c;w;13.27;10.41;w;t;e;g;a
p;2.56;b;t;g;f;a;c;g;5.66;2.25;g;f;f;d;u
p;2.29;c;h;y;f;a;c;y;6.48;3.0;y;f;f;g;u
e;8.59;s;t;n;f;s;c;u;6.63;19.56;u;f;f;d;a
p;6.51;x;s;n;f;s;c;g;5.51;7.47;n;f;f;d;w
e;6.54;x;h;y;t;x;c;y;7.4;14.75;w;f;f;d;u
e;7.79;x;t;n;f;a;c;w;8.51;15.47;w;f;f;g;u
p;10.54;f;t;n;f;x;c;w;10.52;14.31;w;f;f;h;u
p;11.0;s;t;n;t;d;c;n;6.27;15.67;n;f;f;h;a
e;7.02;f;s;n;f;s;c;w;6.27;10.69;n;f;f;l;a
e;8.09;x;d;n;t;p;c;y;6.58;12.73;y;f;f;d;u
p;8.1;s;h;r;t;d;c;g;4.64;12.0;n;f;f;d;a
p;7.26;x;y;w;t;a;c;w;7.46;13.68;w;t;l;d;u
e;3.82;x;d;n;f;p;c;e;4.42;10.35;n;f;f;d;a
e;11.44;f;s;n;f;x;c;n;6.28;22.6;n;f;f;d;w
p;13.5;f;h;e;f;e;c;w;18.41;18.1;w;t;p;d;w
p;1.62;b;g;o;f;a;c;n;4.6;2.61;n;f;f;g;s
p;2.98;o;l;g;f;f;f;f;0.0;0.0;f;f;f;d;u
e;2.01;x;t;b;f;a;d;w;5.37;3.43;w;f;f;d;w
p;6.75;x;e;e;f;a;c;g;8.73;9.89;e;t;z;d;a
p;5.48;o;t;w;f;f;f;f;5.86;33.71;w;t;f;d;u
p;3.34;x;h;n;f;a;c;n;4.47;6.21;o;t;z;d;w
e;6.5;f;t;n;f;s;c;y;8.13;11.84;o;f;f;d;a
e;9.62;f;t;n;t;a;c;w;11.44;18.09;w;t;g;d;u
p;1.25;b;h;n;f;a;c;n;3.73;1.27;n;f;f;d;u
e;3.99;f;t;n;f;d;c;o;6.16;7.59;w;f;f;d;w
e;1.93;x;t;u;f;a;d;w;6.11;4.29;w;f;f;d;u
p;17.21;s;k;w;t;d;d;w;6.88;33.29;w;f;f;d;w
e;3.91;x;t;w;f;d;c;r;6.09;7.25;r;f;f;l;u
p;5.29;f;t;y;f;s;d;y;3.79;11.09;y;f;f;d;a
p;11.46;x;d;o;f;a;c;o;15.52;26.03;o;t;r;d;a
e;4.15;x;t;w;f;x;c;n;5.55;3.59;w;f;f;d;u
p;6.27;p;y;g;f;a;c;w;9.52;12.35;w;t;z;g;w
e;53.36;o;y;y;f;p;c;y;5.98;33.85;k;f;f;d;s
e;4.29;x;w;y;f;f;f;f;3.3;11.3;y;f;f;d;u
e;1.59;x;t;n;f;a;c;w;6.99;2.77;y;f;f;h;a
e;4.51;x;h;n;f;x;c;n;4.31;5.07;n;t;r;d;a
e;0.69;p;g;w;f;a;c;g;2.83;1.27;w;f;f;d;s
p;6.99;x;s;g;t;s;d;r;5.21;14.5;w;f;f;d;a
e;1.51;c;g;n;f;a;c;g;4.76;1.4;g;f;f;l;u
p;7.16;s;d;e;t;d;c;w;8.09;10.36;n;f;f;d;a
p;4.42;f;d;n;f;x;c;w;4.26;2.89;n;f;f;d;a
p;6.46;s;t;o;t;d;c;o;4.59;12.09;w;t;f;d;u
p;9.69;x;t;g;t;x;c;n;9.12;18.71;g;f;f;d;a
p;8.34;x;s;n;f;s;c;g;5.39;8.12;n;f;f;d;a
p;2.94;b;d;r;f;a;c;y;4.71;4.94;r;f;f;m;a
e;6.2;x;s;o;f;d;d;b;4.54;11.69;w;f;f;d;a
e;3.11;s;t;n;f;f;f;f;6.63;7.76;y;f;f;d;a
e;11.16;x;h;n;t;p;c;y;8.53;23.32;n;f;f;d;u
p;10.7;s;t;r;t;d;c;o;5.93;13.71;w;t;f;d;a
p;15.91;f;g;o;f;e;c;w;17.48;17.72;w;t;g;d;w
e;7.45;x;t;n;t;a;c;w;9.21;14.61;w;t;g;d;a
e;3.12;s;t;y;f;f;f;f;5.23;5.99;y;f;f;d;a
e;5.46;f;s;b;f;x;c;w;6.6;9.34;n;f;f;l;w
p;3.7;o;s;g;f;f;f;f;0.0;0.0;f;t;f;d;u
p;3.29;b;y;n;f;a;c;u;5.51;4.41;w;f;f;d;a
e;5.25;x;d;y;t;p;c;y;5.14;13.27;y;f;f;d;a
p;7.0;x;g;n;f;e;c;w;8.83;14.58;w;t;p;d;a
p;1.33;s;s;y;f;f;f;f;4.08;6.31;y;f;f;d;a
e;1.6;c;g;n;f;a;c;g;5.19;1.34;g;f;f;l;a
p;3.96;o;t;n;f;a;c;w;0.0;0.0;f;f;f;d;u
p;2.86;s;w;u;f;a;c;u;5.83;5.28;u;f;f;d;a
p;1.29;p;t;n;f;a;c;n;7.09;2.21;y;t;e;m;u
p;7.34;s;h;r;t;d;c;w;4.5;12.0;g;f;f;d;u
e;3.33;x;h;n;f;a;c;k;6.53;6.56;w;f;f;d;a
p;18.05;s;k;n;f;d;c;y;5.49;35.41;k;f;f;d;u
p;2.95;x;y;n;f;a;c;w;5.45;3.46;n;t;r;g;u
p;3.89;s;t;u;f;a;c;w;4.06;6.92;w;f;f;d;u
e;3.32;x;s;e;f;a;c;e;4.06;6.5;o;f;f;g;w
p;0.88;b;t;n;f;a;c;g;2.68;2.27;n;t;f;m;a
p;7.25;p;y;w;f;a;c;k;15.3;17.87;w;f;f;d;a
e;7.31;x;t;y;f;a;c;w;6.4;16.22;w;f;f;d;a
p;9.36;f;t;n;f;x;c;w;10.57;12.26;w;f;f;d;u
e;2.81;x;h;n;f;a;c;k;4.44;6.17;w;f;f;d;a
e;3.59;s;t;n;f;f;f;f;6.09;6.74;y;f;f;d;a
p;8.25;x;h;r;f;a;c;w;11.07;16.96;w;t;g;d;a
p;5.48;x;s;y;f;a;c;y;6.08;7.89;o;f;f;g;a
p;3.09;b;t;n;f;a;c;k;8.96;2.56;n;f;f;g;a
e;12.57;x;e;n;f;d;c;w;7.89;22.65;w;f;f;d;a
p;2.57;x;g;n;f;a;c;p;6.66;2.22;n;f;f;d;u
p;6.29;f;h;e;f;x;d;w;5.22;16.6;w;f;f;d;u
p;8.06;s;t;r;t;d;c;o;4.42;11.43;w;t;f;d;a
p;5.31;o;t;w;f;a;c;w;0.0;0.0;f;f;f;d;a
p;11.82;x;t;n;f;p;c;p;10.73;30.32;n;f;f;d;u
e;6.81;x;d;n;t;p;c;y;6.43;13.82;y;f;f;d;u
e;6.54;x;t;g;f;a;c;w;5.88;13.52;g;f;f;g;u
p;7.2;x;i;n;f;a;c;n;8.0;7.53;n;t;z;g;u
e;4.65;x;t;w;f;a;c;r;5.65;6.59;w;f;f;d;u
p;5.59;x;e;e;f;a;c;n;7.9;9.36;y;t;z;d;a
p;9.56;o;e;o;f;a;c;o;1.82;18.34;y;f;f;d;a
p;5.91;s;t;e;t;d;c;b;5.24;5.46;e;f;f;d;u
p;7.49;b;y;n;f;a;c;p;15.95;17.78;w;f;f;d;a
p;5.25;f;k;n;f;a;c;y;5.23;5.9;y;t;f;d;u
p;14.2;x;h;y;f;s;c;y;7.41;17.1;n;f;f;d;a
e;1.75;x;w;g;f;a;d;g;5.39;2.6;w;f;f;d;w
e;4.66;x;t;n;f;x;c;n;8.09;9.6;n;t;f;d;s
e;8.35;x;l;w;f;d;c;w;3.55;9.07;w;f;f;g;u
p;11.99;x;t;g;f;e;c;w;10.54;15.1;w;t;e;d;a
e;7.68;x;d;n;t;p;c;y;6.69;14.14;e;f;f;d;u
e;5.07;p;s;w;f;e;c;k;4.77;11.79;w;t;e;m;a
p;3.79;o;s;o;f;f;f;f;0.0;0.0;f;t;f;d;w
p;8.64;x;i;n;f;a;c;n;9.46;13.93;n;f;f;h;a
p;3.28;x;y;n;f;a;c;w;5.04;3.44;y;t;r;h;u
e;7.95;f;d;w;f;s;c;w;6.77;29.68;w;f;f;d;u
e;6.17;f;t;n;f;s;c;p;5.33;17.08;u;f;f;g;a
p;2.77;x;y;n;f;a;c;w;5.4;3.41;n;t;r;h;a
p;1.53;x;k;n;f;a;c;n;4.78;1.71;n;f;f;d;a
p;10.25;x;t;n;f;a;d;w;9.92;27.01;w;f;f;d;a
p;1.78;b;t;n;f;a;c;g;4.78;1.94;g;f;f;d;u
e;4.81;x;d;o;f;d;d;b;5.93;12.14;w;f;f;g;w
e;13.14;x;t;n;t;p;c;y;10.34;24.21;n;f;f;d;u
p;18.56;x;k;w;t;d;d;n;7.12;34.43;w;f;f;d;u
e;5.63;x;h;n;f;x;c;w;4.93;5.06;n;t;r;d;u
e;7.0;s;s;o;f;d;d;b;6.34;13.49;w;f;f;d;a
p;7.82;f;t;e;f;x;d;w;6.0;18.13;w;f;f;d;a
p;4.29;o;s;o;f;f;f;f;0.0;0.0;f;t;f;d;u
e;7.95;p;t;g;f;a;c;w;6.41;12.59;g;f;f;g;u
e;3.28;x;s;p;f;a;c;e;4.17;6.29;e;f;f;g;a
e;6.08;p;t;n;f;f;f;f;5.02;19.26;n;f;f;d;s
p;15.19;f;h;o;f;e;c;w;17.3;18.02;w;t;p;d;w
p;0.73;f;t;o;f;d;c;o;4.69;1.09;o;f;f;g;a
e;9.96;x;s;y;f;a;d;w;8.66;17.17;n;t;f;d;u
e;20.28;p;y;n;f;a;c;w;29.7;21.87;n;t;m;m;u
p;7.45;x;t;n;t;x;c;n;8.63;18.77;g;f;f;d;a
p;0.73;x;g;o;f;a;c;y;3.8;0.86;y;f;f;d;u
e;7.63;s;t;n;f;s;c;g;5.8;17.08;u;f;f;g;w
p;10.88;o;t;e;f;f;f;f;3.27;25.65;n;f;f;d;s
e;4.45;x;t;n;f;d;c;o;6.47;8.14;w;f;f;d;w
p;3.21;f;s;g;f;d;c;w;3.08;7.43;w;f;f;g;u
e;6.08;x;h;n;f;x;c;w;5.36;6.45;n;t;r;d;w
e;2.48;b;y;n;f;a;c;n;6.05;2.26;w;f;f;d;a
e;13.46;x;e;y;f;x;c;w;7.74;22.57;w;f;f;d;u
p;2.43;x;g;e;f;a;c;w;8.33;2.52;w;f;f;d;a
e;7.78;f;s;k;f;a;c;w;4.68;15.86;w;f;f;d;u
p;6.69;s;d;o;f;d;c;o;3.78;6.87;o;f;f;d;a
e;7.56;f;s;w;f;e;c;n;4.37;11.8;w;t;e;g;u
e;9.82;x;t;n;t;a;c;w;10.93;18.34;w;t;g;d;u
e;1.43;c;g;n;f;a;c;g;5.31;1.46;g;f;f;l;u
p;9.55;x;e;n;f;a;c;n;10.92;15.44;n;f;f;d;a
p;12.51;x;t;n;f;e;c;w;11.38;15.84;w;t;e;d;u
p;10.15;x;s;g;f;s;c;y;7.86;16.83;n;f;f;d;u
e;7.92;s;t;o;t;d;c;o;6.69;18.27;w;f;f;d;u
p;15.68;f;s;k;f;p;c;y;4.0;35.97;n;f;f;d;a
p;12.28;x;e;y;t;p;c;o;7.01;25.6;e;f;f;d;u
e;7.08;f;w;y;f;f;f;f;6.11;15.68;y;f;f;d;u
e;6.45;f;s;n;f;s;c;w;5.6;8.93;w;f;f;d;u
e;1.29;f;w;g;f;a;d;g;4.6;2.38;w;f;f;d;s
e;2.7;x;t;u;f;a;d;w;5.77;4.48;w;f;f;d;w
e;10.4;x;i;n;t;e;c;p;8.98;17.47;w;t;p;l;a
p;4.14;c;i;y;f;a;c;n;6.3;6.89;w;f;f;d;a
p;7.63;f;t;r;f;x;c;n;7.35;13.11;w;f;f;d;a
p;9.67;x;t;n;f;p;c;p;11.91;34.75;n;f;f;d;u
p;6.81;s;d;n;t;d;c;w;5.52;8.93;n;f;f;d;u
e;10.89;f;s;y;f;x;c;n;7.55;25.77;p;f;f;d;a
e;2.22;s;y;n;f;d;d;p;5.55;3.09;n;f;f;h;a
e;6.57;s;t;y;f;a;c;w;5.68;14.47;w;f;f;d;u
p;3.06;x;s;g;f;d;c;w;3.37;8.13;w;f;f;g;u
p;2.71;x;y;n;f;a;c;w;4.33;3.18;n;t;r;d;a
p;7.57;s;d;e;t;d;c;n;7.26;10.32;n;f;f;d;a
p;6.09;f;k;n;f;p;c;n;3.94;5.81;n;t;f;d;u
e;6.36;x;y;n;f;e;c;p;4.66;9.6;n;f;f;d;u
e;2.76;f;y;n;f;a;d;p;6.72;3.6;n;f;f;l;u
e;1.22;c;g;n;f;a;c;w;4.66;1.33;g;f;f;d;a
e;14.7;x;e;n;t;e;c;w;9.97;17.5;w;t;f;g;u
p;6.67;f;t;r;f;x;c;n;6.81;13.19;w;f;f;d;a
p;7.82;p;y;w;f;a;c;k;16.09;17.26;w;f;f;d;a
e;3.25;f;g;g;f;a;d;g;4.54;3.29;g;f;f;d;a
e;6.87;x;y;n;f;e;c;p;3.92;12.06;w;t;r;w;u
p;20.19;f;s;e;f;p;c;y;6.11;37.18;n;f;f;d;a
p;3.31;o;s;w;f;a;c;w;0.0;0.0;f;f;f;d;a
p;7.4;f;h;e;f;x;d;w;7.12;18.61;w;f;f;d;a
e;6.05;x;y;n;f;e;c;p;5.09;8.65;n;f;f;d;u
p;4.3;s;t;n;t;d;c;p;5.59;5.12;e;f;f;d;a
e;4.76;f;h;n;f;a;d;w;6.88;5.86;n;f;f;d;s
p;9.18;o;t;r;f;a;c;y;1.51;15.78;n;f;f;d;a
e;6.37;s;l;n;f;f;f;f;8.29;63.95;n;f;f;d;w
e;7.87;x;t;w;f;e;c;w;6.34;14.43;y;t;g;d;a
e;9.14;x;h;n;t;p;c;y;9.33;22.49;n;f;f;d;a
p;2.85;c;t;u;f;a;c;w;3.46;3.68;u;f;f;d;u
p;5.8;x;t;e;f;a;c;g;4.66;13.05;y;f;f;d;a
e;0.79;c;g;n;t;a;c;p;5.22;1.08;n;f;f;h;a
e;2.65;f;h;n;f;a;c;k;5.44;5.66;w;f;f;d;u
e;11.73;s;t;w;t;d;c;w;6.18;25.81;w;f;f;d;u
p;3.02;o;t;g;f;f;f;f;3.57;14.3;g;f;f;d;u
p;13.16;x;t;n;f;e;c;w;11.39;18.44;w;t;g;d;a
p;7.29;f;t;r;f;x;c;y;6.39;11.46;w;f;f;d;a
e;1.38;x;w;g;f;a;d;k;5.05;2.48;w;f;f;g;a
e;6.21;x;t;y;t;x;c;y;6.81;14.09;w;f;f;d;u
p;6.3;b;y;g;f;a;c;g;10.88;12.85;w;t;z;g;u
p;4.26;s;w;u;f;a;c;g;4.54;5.15;u;f;f;l;u
p;4.49;o;s;r;f;f;f;f;0.0;0.0;f;t;f;d;s
e;10.71;x;s;y;f;x;c;n;6.84;24.3;p;f;f;d;w
p;1.51;x;t;n;f;a;c;k;4.94;2.39;n;f;f;g;u
p;6.01;p;y;n;f;a;c;g;11.27;12.47;w;t;z;g;a
p;2.85;b;t;n;f;a;c;n;9.69;2.51;g;f;f;g;u
e;6.1;x;t;y;f;e;c;w;5.72;11.96;y;t;g;d;u
p;7.22;s;t;g;t;d;c;g;4.42;11.27;n;f;f;d;a
e;8.36;x;h;n;t;p;c;y;7.87;16.95;n;t;p;d;a
p;6.33;x;w;n;f;x;c;w;11.43;7.02;n;f;f;d;u
e;10.59;x;e;g;f;d;c;w;7.54;22.76;w;f;f;d;w
p;7.16;f;w;p;f;s;c;p;4.33;9.83;p;f;f;d;a
p;2.98;x;d;w;f;d;d;p;3.43;2.81;w;f;f;g;u
e;6.62;x;t;n;t;p;c;g;10.89;23.36;w;f;f;d;u
p;2.7;x;t;n;f;x;c;p;6.59;3.46;p;f;f;d;u
p;10.3;s;t;p;t;d;c;p;7.66;13.02;p;t;f;d;a
e;3.64;c;t;n;f;f;f;f;4.26;17.55;n;f;f;l;s
p;7.28;x;t;g;f;d;c;y;5.97;10.94;n;f;f;d;w
e;6.34;x;t;g;f;a;d;n;6.45;5.16;w;t;l;d;w
p;13.3;f;t;n;f;e;c;w;11.16;16.38;w;t;e;d;a
e;4.64;f;t;w;f;x;c;u;6.7;4.33;w;f;f;d;a
p;1.69;f;h;y;f;a;c;y;7.22;2.76;y;f;f;g;a
p;6.67;x;y;w;t;a;c;p;7.21;13.39;w;t;l;g;u
p;7.5;s;t;o;t;d;c;o;4.71;12.12;w;t;f;d;u
e;5.67;o;l;n;f;f;f;f;7.2;57.02;n;f;f;d;w
e;13.91;f;t;l;f;d;c;w;2.75;17.9;w;f;f;d;a
e;4.26;x;t;n;f;d;c;o;6.1;9.25;o;f;f;d;w
p;5.15;s;d;y;f;d;c;y;3.16;6.33;o;f;f;d;u
e;3.96;f;t;n;f;d;c;o;5.67;6.04;o;f;f;d;w
e;17.65;f;s;w;f;a;d;k;7.89;23.75;w;f;f;d;w
p;4.32;f;t;p;f;x;c;w;4.12;6.12;w;f;f;d;u
p;5.2;b;h;n;f;a;c;n;13.27;6.99;w;t;f;g;a
e;1.33;x;w;g;f;a;d;g;5.05;2.26;w;f;f;d;w
p;7.52;p;y;w;f;a;c;p;16.38;17.34;w;f;f;d;a
e;5.72;x;d;y;t;p;c;r;4.07;9.55;y;f;f;d;u
e;1.14;c;g;n;f;a;c;w;4.38;1.22;g;f;f;l;u
e;4.57;x;s;n;f;p;c;n;5.71;12.74;e;f;f;d;u
p;10.76;x;y;y;f;a;c;y;9.94;21.36;y;t;r;d;u
p;6.38;x;i;y;f;a;c;k;7.32;7.26;n;t;z;g;a
p;4.29;x;y;y;f;a;c;w;5.31;3.37;n;t;r;d;u
p;14.74;o;t;e;f;f;f;f;4.77;28.0;n;f;f;d;s
p;6.86;x;t;e;f;x;d;w;6.13;17.45;w;f;f;d;a
e;3.7;f;d;g;t;d;c;p;4.01;5.31;g;f;f;d;a
p;11.53;x;e;n;t;p;c;e;8.75;32.66;u;f;f;d;u
e;5.34;x;d;y;t;p;c;y;5.95;13.27;y;f;f;d;a
e;14.13;f;t;g;f;d;c;y;2.68;16.18;w;f;f;d;w
e;7.2;o;t;n;f;a;c;w;4.75;21.74;n;f;f;d;u
p;3.22;b;y;w;f;e;c;w;4.26;3.52;w;t;e;m;u
p;3.86;s;w;u;f;a;c;g;6.26;6.49;u;f;f;d;a
p;6.87;x;t;n;f;s;c;n;5.01;7.46;n;f;f;d;w
e;6.65;x;d;n;t;p;c;y;7.08;13.22;y;f;f;d;u
e;4.25;x;t;y;f;a;c;y;4.62;8.9;w;f;f;d;a
p;3.13;o;l;g;f;f;f;f;0.0;0.0;f;f;f;d;s
p;1.95;p;t;n;f;a;c;g;6.72;2.36;y;t;e;m;a
p;4.16;b;t;n;f;a;c;n;10.64;6.38;w;t;f;g;u
p;6.07;b;t;w;f;e;c;w;11.59;10.56;w;t;l;d;a
e;1.83;x;t;u;f;a;d;w;6.17;4.41;w;f;f;d;w
p;5.7;b;k;n;f;d;c;n;5.29;6.1;y;t;f;d;a
p;5.21;x;t;g;f;d;c;w;5.31;9.43;n;f;f;d;w
e;6.61;x;y;n;f;e;c;p;7.04;10.36;n;f;f;d;u
e;4.16;x;h;o;f;a;d;w;6.35;5.87;o;f;f;d;s
p;4.39;b;y;n;f;a;c;g;6.18;4.68;w;f;f;d;a
p;5.06;o;t;w;f;a;c;w;0.0;0.0;f;f;f;d;u
e;9.32;x;s;w;f;s;c;w;7.09;32.13;w;f;f;d;u
e;6.81;p;y;w;f;e;c;n;5.26;12.83;w;t;e;g;a
e;7.14;f;s;b;f;d;d;b;6.79;13.74;w;f;f;m;a
p;9.61;x;y;y;f;a;c;y;11.58;22.9;o;t;r;d;w
e;1.94;f;y;n;f;a;d;p;4.85;3.55;n;f;f;l;a
p;5.42;f;t;y;f;s;d;y;4.59;9.74;y;f;f;d;a
e;3.56;x;s;o;f;a;c;e;4.35;6.28;o;f;f;g;w
p;7.37;f;t;n;f;x;c;y;6.52;17.43;y;f;f;d;a
e;3.7;x;t;b;f;a;d;u;6.06;4.8;w;f;f;d;a
p;8.13;s;t;p;t;d;c;p;7.42;14.45;p;t;f;d;a
e;9.86;f;s;w;f;s;c;w;6.05;29.25;w;f;f;m;s
p;2.23;x;i;k;f;a;c;w;4.13;2.33;w;f;f;g;u
e;7.97;x;t;n;t;p;c;g;9.67;24.36;w;f;f;d;u
e;7.79;x;l;w;f;d;c;p;3.43;8.34;w;f;f;d;u
e;5.45;f;s;n;f;s;c;w;5.61;8.8;n;f;f;m;u
e;4.42;x;h;e;f;a;c;o;3.87;6.67;o;f;f;g;a
p;7.18;x;s;n;f;s;c;g;5.96;8.37;n;f;f;d;w
e;19.27;f;y;w;f;a;c;w;25.76;19.76;n;t;m;d;a
e;3.85;s;t;y;f;f;f;f;6.54;7.36;o;f;f;d;a
e;11.33;f;e;b;f;a;c;b;5.24;22.31;w;t;f;d;a
p;2.75;x;g;n;f;a;c;p;7.45;2.61;n;f;f;d;a
e;5.09;x;y;w;f;e;c;n;4.89;13.07;w;t;e;m;a
p;3.55;o;s;r;f;f;f;f;0.0;0.0;f;t;f;d;w
p;3.69;f;l;e;f;x;d;n;5.2;4.91;n;f;f;l;u
e;6.82;x;l;w;f;d;c;w;3.63;9.63;w;f;f;g;a
p;6.46;x;d;n;t;d;c;w;5.22;8.63;n;f;f;d;a
e;8.28;x;h;y;t;x;c;y;8.49;16.66;w;f;f;d;a
p;1.39;x;g;n;f;d;d;n;2.0;2.5;n;f;f;h;u
e;7.29;x;t;n;f;p;d;y;6.96;12.43;n;f;f;h;a
p;3.03;o;l;g;f;f;f;f;0.0;0.0;f;f;f;d;w
p;4.66;x;s;y;f;a;c;y;9.27;6.99;y;t;z;d;a
p;10.42;x;t;n;f;a;d;w;9.41;29.08;w;f;f;d;u
p;3.14;x;t;n;f;s;c;n;5.71;9.43;w;t;z;d;u
p;2.42;x;g;e;f;a;c;w;7.81;2.49;n;f;f;d;a
e;7.62;o;t;n;f;a;c;w;3.87;20.31;n;f;f;d;u
p;6.26;x;t;y;f;s;d;y;6.93;13.79;y;f;f;d;a
e;9.98;f;s;y;f;a;d;w;9.7;15.04;n;t;f;d;u
p;4.59;o;s;y;f;f;f;f;0.0;0.0;f;t;f;d;s
p;5.09;x;t;o;f;a;c;y;5.9;7.89;o;f;f;g;u
p;6.31;x;e;e;f;a;c;w;9.08;10.42;e;t;z;d;a
p;4.14;o;s;n;f;f;f;f;0.0;0.0;f;t;f;d;w
p;4.44;x;h;o;f;a;c;y;5.63;7.17;o;f;f;g;a
p;3.55;x;y;y;f;a;c;w;6.09;3.63;y;t;r;h;a
p;8.62;x;e;y;f;a;c;o;12.1;24.43;o;t;r;d;u
p;13.24;x;t;n;f;e;c;w;11.01;14.86;w;t;g;d;u
e;9.03;f;s;w;f;s;c;w;7.55;32.63;w;f;f;m;u
p;14.31;x;s;k;f;p;c;y;4.07;32.63;n;f;f;d;w
p;8.45;x;e;o;f;a;c;o;12.56;21.98;o;t;r;d;a
e;3.27;f;g;g;f;a;d;g;5.65;3.62;g;f;f;d;s
p;4.74;s;d;o;f;d;c;y;2.67;5.7;o;f;f;d;a
e;1.61;c;g;n;f;a;c;w;5.47;1.65;g;f;f;d;a
e;5.8;x;h;n;f;e;c;w;12.9;12.79;w;f;f;d;a
e;9.54;x;s;n;f;d;d;w;9.25;13.81;n;t;f;d;w
e;7.19;x;y;n;f;e;c;p;5.6;9.97;n;f;f;d;a
e;6.96;x;s;u;f;a;c;w;3.76;12.09;w;f;f;d;a
p;8.99;x;t;g;t;x;c;n;9.3;19.55;n;f;f;d;a
e;7.46;x;h;y;t;x;c;y;7.88;16.56;w;f;f;d;a
p;7.7;x;i;y;f;a;c;n;7.25;7.08;n;t;z;d;u
e;12.37;s;s;u;f;x;c;n;6.0;20.8;w;f;f;d;a
p;4.83;x;t;y;f;s;d;y;6.11;13.4;y;f;f;d;a
e;10.89;f;t;b;f;d;c;w;2.6;17.45;w;f;f;d;w
p;7.74;x;t;n;t;x;c;u;8.01;17.32;g;f;f;d;a
